  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
 37.8444 356.2378  327.285  329  1.7598E+00  1.7775E+01
 37.8463 356.2316  327.326  330  1.7595E+00  1.7804E+01
 37.8482 356.2255  327.368  331  1.7592E+00  1.7833E+01
 37.8501 356.2193  327.410  332  1.7589E+00  1.7863E+01
 37.8520 356.2132  327.451  333  1.7586E+00  1.7892E+01
 37.8539 356.2070  327.493  334  1.7583E+00  1.7921E+01
 37.8558 356.2009  327.535  335  1.7580E+00  1.7950E+01
 37.8577 356.1947  327.577  336  1.7577E+00  1.7980E+01
 37.8596 356.1886  327.618  337  1.7574E+00  1.8009E+01
 37.8615 356.1825  327.660  338  1.7571E+00  1.8038E+01
 37.8634 356.1763  327.702  339  1.7568E+00  1.8068E+01
 37.8653 356.1702  327.743  340  1.7565E+00  1.8097E+01
 37.8672 356.1640  327.785  341  1.7562E+00  1.8126E+01
 37.8691 356.1579  327.827  342  1.7559E+00  1.8155E+01
 37.8709 356.1517  327.869  343  1.7556E+00  1.8185E+01
 37.8728 356.1456  327.910  344  1.7553E+00  1.8214E+01
 37.8747 356.1394  327.952  345  1.7550E+00  1.8243E+01
 37.8766 356.1333  327.994  346  1.7547E+00  1.8272E+01
 37.8785 356.1271  328.035  347  1.7544E+00  1.8302E+01
 37.8804 356.1210  328.077  348  1.7541E+00  1.8331E+01
 37.8823 356.1148  328.119  349  1.7538E+00  1.8360E+01
 37.8842 356.1087  328.161  350  1.7535E+00  1.8389E+01
 37.8861 356.1025  328.202  351  1.7532E+00  1.8419E+01
 37.8870 356.0994  328.223  352  1.7531E+00  1.8448E+01
 37.9522 356.1385  312.901  353  1.9322E+00  1.8480E+01
 38.0814 356.2163  286.265  354  2.2860E+00  1.8518E+01
 38.2089 356.2933  264.554  355  2.6158E+00  1.8562E+01
 39.1308 356.8964  202.328  363  3.8805E+00  1.9297E+01
 39.1988 356.9470  202.371  364  3.8961E+00  1.9362E+01
 39.2601 356.9929  202.366  365  3.9110E+00  1.9427E+01
 39.6352 357.2749  202.982  368  3.9893E+00  1.9607E+01
 39.7579 357.3679  203.103  369  4.0206E+00  1.9674E+01
 39.8822 357.4626  203.241  370  4.0531E+00  1.9742E+01
 40.0122 357.5622  203.305  371  4.0893E+00  1.9810E+01
 40.0808 357.6149  203.337  372  4.1076E+00  1.9879E+01
 40.1394 357.6600  203.449  373  4.1214E+00  1.9947E+01
 40.2566 357.7504  203.672  374  4.1488E+00  2.0016E+01
 40.3737 357.8410  203.896  375  4.1762E+00  2.0086E+01
 40.4907 357.9320  204.120  376  4.2034E+00  2.0156E+01
 40.6077 358.0233  204.344  377  4.2306E+00  2.0227E+01
 40.7246 358.1150  204.569  378  4.2582E+00  2.0298E+01
 40.8414 358.2069  204.794  379  4.2854E+00  2.0369E+01
 40.9581 358.2992  205.019  380  4.3125E+00  2.0441E+01
 41.0748 358.3918  205.245  381  4.3368E+00  2.0513E+01
 41.1913 358.4847  205.471  382  4.3617E+00  2.0586E+01
 41.3078 358.5780  205.696  383  4.3903E+00  2.0659E+01
